2.063,-0.91061,0.35799,-0.12318,-0.77415,1.5939,-0.43045,-1.0421,0.84138,0.35583,-0.077039,-0.7994,0.25949,0.82502,0.47444,-1.3841,0.29665,-0.22165,0.19862,-0.6661,2.4947
-0.47752,0.67461,-2.0798,-0.95133,-0.58775,0.69999,-0.65032,0.71573,-0.78605,-0.80328,-0.77911,-1.1023,-0.12461,-0.98468,-0.817,-2.0592,-0.21586,-0.30984,0.11618,-0.76257,-2.5565
0.61907,-0.65898,0.83758,0.84829,-0.44467,0.49092,0.4705,1.0173,-2.1173,2.2967,-0.64603,-0.22719,1.1547,-0.15419,0.76897,-0.031986,1.3879,-1.3651,-0.82594,0.67468,3.2694
-1.1702,0.62009,-0.40127,0.98776,-0.083049,-0.85074,-0.31547,0.060641,0.1124,0.35402,0.32517,-1.2387,1.6122,-0.41346,-1.1807,-0.21892,1.3836,-0.89837,-0.72149,0.34885,-0.00070867
0.49785,-0.25432,-0.4337,-0.71887,-0.81845,-0.31399,0.93848,0.58794,-0.036098,1.6814,0.56977,-0.16783,0.20702,1.0938,-0.6598,-0.038216,-0.94879,-2.5941,-1.1775,-0.31931,-3.8037
-1.7524,0.59676,-0.70369,0.36821,-1.4465,1.2335,-0.45465,1.7486,0.12142,0.049887,0.47155,0.35543,-0.8632,-0.13506,-0.30413,-0.38499,0.22431,0.22226,0.88466,0.56718,-2.0445
-0.42298,-0.46079,-0.77922,-0.1738,0.65079,0.76245,0.37009,0.1334,0.26178,0.51949,-0.83176,-0.29646,1.1058,-1.2036,0.99732,0.9202,-0.29126,-0.54635,0.57029,1.3712,1.5485
2.1016,0.83838,0.77586,-0.27731,-1.1197,-1.5769,-0.85862,-0.14868,-0.99741,-0.56954,0.73962,-0.45561,1.1454,0.15929,-1.2798,-1.173,0.35463,2.7145,1.1968,0.025815,5.3833
2.1296,-0.82118,-1.0384,0.24072,-0.11291,0.24865,2.4718,-2.7378,-0.18098,0.19141,1.7391,-1.8367,0.88558,-0.41413,-0.41087,0.30602,-0.13012,-0.77371,-0.84262,0.75525,2.2643
-0.30802,0.4192,0.79892,-0.19916,1.0983,1.7981,0.92625,0.53084,0.6267,-0.68811,-0.44961,-0.54885,-0.21794,-0.40863,-0.25778,-0.66966,-0.59812,-1.5199,0.55491,1.1583,3.8301
2.0735,1.3946,-0.077948,0.25573,0.64322,-0.89275,1.4441,1.1648,-0.58018,0.72537,0.58179,-1.0116,-1.9312,0.69375,0.73939,1.5801,-0.09891,0.56861,-1.2718,1.4178,2.7894
0.69316,-0.29275,0.76527,-1.6343,-1.0417,0.54493,0.18694,0.54522,-0.31205,1.0148,-0.32651,0.82154,-0.034942,-0.83686,-1.551,-0.094494,0.59074,0.96053,-0.19091,-1.2707,5.3505
0.88997,-1.8606,-1.2909,0.37087,0.92557,-1.4023,-0.03968,-1.6349,0.26769,0.20378,-0.39146,-1.5955,-0.22954,-0.11973,-0.39665,1.2234,-0.58011,0.5533,1.1119,0.18824,-5.2733
-0.37501,-0.35959,0.68427,0.075924,-0.40471,0.24191,-0.54921,0.7342,0.55033,-0.48394,-0.28535,-1.0177,-2.8742,1.0836,-0.14361,-1.463,0.8143,-1.7974,0.70853,1.0737,-3.161
